account,out_block_std,out_time_ptp,out_amount_sum,out_amount_max,out_amount_min,out_amount_mean,out_amount_std,out_count,out_unique,out_unique_ratio,in_block_std,in_time_ptp,in_amount_sum,in_amount_max,in_amount_min,in_amount_mean,in_amount_std,in_count,in_unique,in_unique_ratio,to_out_sum_media,to_out_min_std,to_out_sum_min,from_in_sum_min,from_in_min_std,from_in_min_sum,from_in_mean_sum
0xa5712afa19d70bb5dd57b91c43fffcaaf077dc3d,809728.3224755242,1432921598.0,14.769437180000004,2.78,0.0001,0.2895968074509804,0.45215290904059646,51,38,0.7450980392156863,0.4677638373864376,1431085095.0,38266127177.0,1531085094.0,1529914573.0,1530645087.08,443295.0609160377,25,38,1.52,11.993397339587263,0.0,3.0074161517211437,6.431996707874275,0.0,0.00212488,45700.94414820561
0x58f288f0a8c287f5922c08d9693c045942609f23,2849661.6584193623,1441573678.0,51.88672999999999,11.1,0.0,0.5188673,1.795360421620046,100,61,0.61,2.8573610458676213,1441573412.0,56595271710.0,1541573411.0,1527665432.0,1529601938.108108,3781625.254509114,37,61,1.6486486486486487,44.403964388753266,0.0,21.22833928229302,2.9449176950433347,0.0,0.0205,1383.2378851534954
0xe8904be4f4a8fbba4c12d46e397eca8666008e34,0,0,0,0,0,0,0,0,0,0,0.399,1427607100.0,3055212239.0,1527607099.0,1527605140.0,1527606119.5,979.5,2,0,0.0,0,0,0,0.0,378.69404679540935,269261.8703561388,269261.8703561388
0x03b182d6e65c641b2a292d984a7dbb491df49011,150980.0464550053,1427511363.0,0.0,0.0,0.0,0.0,0.0,3,1,0.3333333333333333,34.722089966253755,1428789573.0,7638247394.0,1528789572.0,1527051368.0,1527649478.8,636168.5857265823,5,1,0.2,0,0,0,1.222949691,295.5261249178611,170709.81508170126,211799.16195765813
0x24135baba3edc9c08355579a093d756b93c408bb,0,0,0,0,0,0,0,0,0,0,0.0,1427610082.0,1527610081.0,1527610081.0,1527610081.0,1527610081.0,0.0,1,0,0.0,0,0,0,0.0,378.69404679540935,269261.8703561388,269261.8703561388
0xb21b5498ae8098dbeffdd9c61dec0da4da048427,0,0,0,0,0,0,0,0,0,0,22.38021743159421,1431269631.0,13745718429.0,1531269630.0,1525740570.0,1527302047.6666667,1548127.1091771934,9,0,0.0,0,0,0,2.756993251,115.67218402281095,150253.2923427136,253444.043707014
0x1e6832f84c2ff46189b3e917088cdb94cbbbf4e9,0,0,0,0,0,0,0,0,0,0,0.0,1427588550.0,1527588549.0,1527588549.0,1527588549.0,1527588549.0,0.0,1,0,0.0,0,0,0,0.0,378.69404679540935,269261.8703561388,269261.8703561388
0x1f3a776b64538b3cd244d256f0b5959798fb99e0,0,0,0,0,0,0,0,0,0,0,0.0,1427610259.0,1527610258.0,1527610258.0,1527610258.0,1527610258.0,0.0,1,0,0.0,0,0,0,0.0,378.69404679540935,269261.8703561388,269261.8703561388
0x4ad59aeff83ccc2a76ddfe324410c793d5a8e171,0.0,1406358394.0,30.999097,30.999097,30.999097,30.999097,0.0,1,1,1.0,3.4292856398964493,1406351576.0,7531734341.0,1506351575.0,1506342003.0,1506346868.2,3610.774066595693,5,1,0.2,30.998656,0.0,30.998656,6.589465789965972,0.9370604616500177,6.48465507,500.8503228284948
0x4ab7fbdee77e6a5fd6c9eee4ca6cfedfd503ed73,0,0,0,0,0,0,0,0,0,0,0.29503469378812996,1431715946.0,4587110804.0,1531715945.0,1527600914.0,1529036934.6666667,1895984.7953540015,3,0,0.0,0,0,0,0.0988,176.58778037566427,183882.61511873314,216307.8694224398
0x42e0d29d1cb3a28d748a7ac2d06d679329022c72,0.0,1433592568.0,4.17172791,4.17172791,4.17172791,4.17172791,0.0,1,1,1.0,0.4442032487431665,1433041028.0,13796344093.0,1533041027.0,1532556672.0,1532927121.4444444,137768.52042394324,9,1,0.1111111111111111,7.182219573333334,7.802705332433805,0.499097,2.96170392,0.0,0.05840477,11124.499825117438
0x5fcde96cfe5f696b63491b25cf320e55bf55f048,1752568.3238579459,1421793872.0,7.622844125,1.938149452,1.871977073,1.90571103125,0.03217831000543102,4,2,0.5,0,0,0,0,0,0,0,0,0,0,829.1007920555721,245.92094200030536,0.038599999999999995,0,0,0,0
0x6d1ca9ee33f0806bd37a8ac4c418a0ecb0c9f086,0,0,0,0,0,0,0,0,0,0,0.0,1413279774.0,1513279773.0,1513279773.0,1513279773.0,1513279773.0,0.0,1,0,0.0,0,0,0,0.05,0.05662934482645553,3.4543549913234712,3.4543549913234712
0xb64994bf1f00440a99ee7f90f8810e643f405840,3796553.597120063,1430468755.0,79.25206203,40.82806269,1.999412,5.283470802,9.518514865049777,15,3,0.2,0,0,0,0,0,0,0,0,0,0,884.4400050270483,245.92094200030536,0.053599999999999995,0,0,0,0
0xbb46dded439b6ce745fe7bac6ec08985a7b6ecd4,0.0,1430256963.0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,0.5049984999999999,1427586133.0,3055171625.0,1527586132.0,1527585493.0,1527585812.5,319.5,2,1,0.5,0,0,0,0.0,378.69404679540935,269261.8703561388,269261.8703561388
0x7ca568c0d5ff03f7c106fee440922354fa9992b1,2254640.0,1421967534.0,4.29672315,2.30720405,1.9895191,2.148361575,0.15884247500000004,2,2,1.0,0,0,0,0,0,0,0,0,0,0,911.2297407771997,219.5339760696039,0.03,0,0,0,0
0xbc3d939dab46e05406af32cb8068a2675f68a151,1318008.8647745734,1430015845.0,0.0,0.0,0.0,0.0,0.0,8,3,0.375,0.4854462514776853,1427581018.0,4568747144.0,1527581017.0,1520021510.0,1522915714.6666667,3330578.20099517,3,3,1.0,0,0,0,0.0,3.430483726144102,7140.280230763497,138201.07529345114
0xb5b4abf898124e1e1349bffc9185cacdb210e791,0,0,0,0,0,0,0,0,0,0,0.0,1427606991.0,1527606990.0,1527606990.0,1527606990.0,1527606990.0,0.0,1,0,0.0,0,0,0,0.0,378.69404679540935,269261.8703561388,269261.8703561388
0xe606a2a685123db93270c3944586e97c2af541b5,4432281.982593006,1430176149.0,91.85667218600001,23.585028761,1.329368862,2.8705210058125,3.7355700889990566,32,7,0.21875,0,0,0,0,0,0,0,0,0,0,1180.7398603263637,65.9922751346628,0.11359999999999999,0,0,0,0
0x6301978133597042142ff306829be6636404a211,0,0,0,0,0,0,0,0,0,0,0.0,1427588550.0,1527588549.0,1527588549.0,1527588549.0,1527588549.0,0.0,1,0,0.0,0,0,0,0.0,378.69404679540935,269261.8703561388,269261.8703561388
0xb0612bb1cb112328cd98c295fa7baee99497540b,0,0,0,0,0,0,0,0,0,0,30.746874999884533,1427581018.0,4582205619.0,1527581017.0,1527234998.0,1527401873.0,141527.81437112164,3,0,0.0,0,0,0,0.27,139.5587817038643,110650.88552294856,170500.90220124376
0x37c85a7523b1832b4d0380b2f513e88b66e8c850,0.0,1420579540.0,53.414527589,53.414527589,53.414527589,53.414527589,0.0,1,1,1.0,1.1379695213413494,1419740527.0,100298186471.0,1519740526.0,1519648572.0,1519669491.9848485,22145.305728366016,66,1,0.015151515151515152,64.646558289,0.0,64.646558289,105.91738812453511,0.0,0.01,155869.68309814917
0xdd1db171b110fb857311fde3236217894e7e9ab8,922961.0,1429785127.0,0.0,0.0,0.0,0.0,0.0,2,2,1.0,0.0,1427938063.0,1527938062.0,1527938062.0,1527938062.0,1527938062.0,0.0,1,2,2.0,0,0,0,0.99042,0.004693222347172585,4.97126,4.97126
0xb37da5c9179345341fe50d37cfc961ba47c01f9a,73131.83040692109,1416113921.0,31.001688092000002,15.501688092,0.5,10.333896030666667,6.956630223122153,3,2,0.6666666666666666,2.7021457953643786,1416013841.0,30319048758.0,1516013840.0,1515933887.0,1515952437.9,21440.819020970255,20,2,0.1,16.580463985999998,0.0,10.49895,2.3157592551026007,0.0,0.1369104,16.431073002812667
0xcac69d3aef710d479dac633e1a4a5bed8472efdf,0,0,0,0,0,0,0,0,0,0,1.242,1427865516.0,3055457162.0,1527865515.0,1527591647.0,1527728581.0,136934.0,2,0,0.0,0,0,0,0.0888,368.7320228035005,195779.12279244748,232520.49657429312
0x62c71581708dd73b10e7aa2249778aee016ebf0e,0.0,1421793793.0,17.40957065,17.40957065,17.40957065,17.40957065,0.0,1,1,1.0,0.6817782560242583,1421772681.0,33478259192.0,1521772680.0,1521667701.0,1521739054.1818182,34151.26105037087,22,1,0.045454545454545456,1.1048821889299951,2.3005597979733263,0.001258720382208556,4.999097605777829,0.0,0.14,415218.15513324045
0x2a6c7867e605d0f0f940cec1669d98a33cf4c299,359638.61545471934,1421994740.0,13.684014699999999,6.348,0.0823,3.4210036749999997,2.753831910027465,4,3,0.75,1.8991409865437836,1421278605.0,13690321273.0,1521278604.0,1521067305.0,1521146808.1111112,77513.07983594976,9,3,0.3333333333333333,4.429339,4.982254147420523,0.001,0.001488367777778555,5.929889097051325,34.13415524499999,190006.06378047506
0xa475a250519fdd5d13682d1a380ce2dcabb8abcf,0.0,1435557143.0,4.5685953,4.5685953,4.5685953,4.5685953,0.0,1,1,1.0,0.5941593821662684,1434942789.0,10744107320.0,1534942788.0,1534722782.0,1534872474.2857144,85000.70138318067,7,1,0.14285714285714285,16.99123175,0.0,16.99123175,4.070192842709164,0.0,0.00255371,457424.7483279906
